"SL No","Question Name","Rating","Tag","URL","Solved"
"1","Find a Peak Element II","2","Medium","https://leetcode.com/problems/find-a-peak-element-ii/","No"
"2","Count Sub Islands","2","Medium","https://leetcode.com/problems/count-sub-islands/","No"
"3","Minimum Absolute Difference Queries","2","Medium","https://leetcode.com/problems/minimum-absolute-difference-queries/","No"
"4","The Number of Full Rounds You Have Played","2","Medium","https://leetcode.com/problems/the-number-of-full-rounds-you-have-played/","No"
"5","Largest Odd Number in String","1","Easy","https://leetcode.com/problems/largest-odd-number-in-string/","No"
"6","Egg Drop With 2 Eggs and N Floors","2","Medium","https://leetcode.com/problems/egg-drop-with-2-eggs-and-n-floors/","Yes"
"7","The Earliest and Latest Rounds Where Players Compete","3","Hard","https://leetcode.com/problems/the-earliest-and-latest-rounds-where-players-compete/","No"
"8","Maximum Number of Removable Characters","2","Medium","https://leetcode.com/problems/maximum-number-of-removable-characters/","No"
"9","Merge Triplets to Form Target Triplet","2","Medium","https://leetcode.com/problems/merge-triplets-to-form-target-triplet/","No"
"10","Redistribute Characters to Make All Strings Equal","1","Easy","https://leetcode.com/problems/redistribute-characters-to-make-all-strings-equal/","No"
"11","Minimum Space Wasted From Packaging","3","Hard","https://leetcode.com/problems/minimum-space-wasted-from-packaging/","No"
"12","Minimum Number of Flips to Make the Binary String Alternating","2","Medium","https://leetcode.com/problems/minimum-number-of-flips-to-make-the-binary-string-alternating/","No"
"13","Reduction Operations to Make the Array Elements Equal","2","Medium","https://leetcode.com/problems/reduction-operations-to-make-the-array-elements-equal/","No"
"14","Determine Whether Matrix Can Be Obtained By Rotation","1","Easy","https://leetcode.com/problems/determine-whether-matrix-can-be-obtained-by-rotation/","No"
"15","Minimum Skips to Arrive at Meeting On Time","3","Hard","https://leetcode.com/problems/minimum-skips-to-arrive-at-meeting-on-time/","No"
"16","Process Tasks Using Servers","2","Medium","https://leetcode.com/problems/process-tasks-using-servers/","No"
"17","Maximum Value after Insertion","2","Medium","https://leetcode.com/problems/maximum-value-after-insertion/","No"
"18","Check if Word Equals Summation of Two Words","1","Easy","https://leetcode.com/problems/check-if-word-equals-summation-of-two-words/","No"
"19","Minimum Cost to Change the Final Value of Expression","3","Hard","https://leetcode.com/problems/minimum-cost-to-change-the-final-value-of-expression/","No"
"20","Find the Student that Will Replace the Chalk","2","Medium","https://leetcode.com/problems/find-the-student-that-will-replace-the-chalk/","No"
"21","Check if All the Integers in a Range Are Covered","1","Easy","https://leetcode.com/problems/check-if-all-the-integers-in-a-range-are-covered/","No"
"22","Stone Game VIII","3","Hard","https://leetcode.com/problems/stone-game-viii/","No"
"23","Jump Game VII","2","Medium","https://leetcode.com/problems/jump-game-vii/","No"
"24","Minimum Speed to Arrive on Time","2","Medium","https://leetcode.com/problems/minimum-speed-to-arrive-on-time/","No"
"25","Longer Contiguous Segments of Ones than Zeros","1","Easy","https://leetcode.com/problems/longer-contiguous-segments-of-ones-than-zeros/","No"
"26","Number of Ways to Rearrange Sticks With K Sticks Visible","3","Hard","https://leetcode.com/problems/number-of-ways-to-rearrange-sticks-with-k-sticks-visible/","No"
"27","Finding Pairs With a Certain Sum","2","Medium","https://leetcode.com/problems/finding-pairs-with-a-certain-sum/","No"
"28","Minimum Number of Swaps to Make the Binary String Alternating","2","Medium","https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-binary-string-alternating/","No"
"29","Sum of All Subset XOR Totals","1","Easy","https://leetcode.com/problems/sum-of-all-subset-xor-totals/","No"
"30","Get Biggest Three Rhombus Sums in a Grid","2","Medium","https://leetcode.com/problems/get-biggest-three-rhombus-sums-in-a-grid/","No"
"31","Minimum XOR Sum of Two Arrays","3","Hard","https://leetcode.com/problems/minimum-xor-sum-of-two-arrays/","No"
"32","Minimize Maximum Pair Sum in Array","2","Medium","https://leetcode.com/problems/minimize-maximum-pair-sum-in-array/","No"
"33","Substrings of Size Three with Distinct Characters","1","Easy","https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters/","No"
"34","Largest Color Value in a Directed Graph","3","Hard","https://leetcode.com/problems/largest-color-value-in-a-directed-graph/","No"
"35","Maximum Subarray Min-Product","2","Medium","https://leetcode.com/problems/maximum-subarray-min-product/","No"
"36","Maximum Distance Between a Pair of Values","2","Medium","https://leetcode.com/problems/maximum-distance-between-a-pair-of-values/","No"
"37","Maximum Population Year","1","Easy","https://leetcode.com/problems/maximum-population-year/","No"
"38","Minimum Adjacent Swaps to Reach the Kth Smallest Number","2","Medium","https://leetcode.com/problems/minimum-adjacent-swaps-to-reach-the-kth-smallest-number/","No"
"39","Minimum Interval to Include Each Query","3","Hard","https://leetcode.com/problems/minimum-interval-to-include-each-query/","No"
"40","Splitting a String Into Descending Consecutive Values","2","Medium","https://leetcode.com/problems/splitting-a-string-into-descending-consecutive-values/","No"
"41","Minimum Distance to the Target Element","1","Easy","https://leetcode.com/problems/minimum-distance-to-the-target-element/","No"
"42","Rotating the Box","2","Medium","https://leetcode.com/problems/rotating-the-box/","No"
"43","Incremental Memory Leak","2","Medium","https://leetcode.com/problems/incremental-memory-leak/","No"
"44","Sorting the Sentence","1","Easy","https://leetcode.com/problems/sorting-the-sentence/","No"
"45","Maximum Building Height","3","Hard","https://leetcode.com/problems/maximum-building-height/","No"
"46","Longest Substring Of All Vowels in Order","2","Medium","https://leetcode.com/problems/longest-substring-of-all-vowels-in-order/","No"
"47","Frequency of the Most Frequent Element","2","Medium","https://leetcode.com/problems/frequency-of-the-most-frequent-element/","No"
"48","Sum of Digits in Base K","1","Easy","https://leetcode.com/problems/sum-of-digits-in-base-k/","No"
"49","Find XOR Sum of All Pairs Bitwise AND","3","Hard","https://leetcode.com/problems/find-xor-sum-of-all-pairs-bitwise-and/","No"
"50","Single-Threaded CPU","2","Medium","https://leetcode.com/problems/single-threaded-cpu/","No"
"51","Maximum Ice Cream Bars","2","Medium","https://leetcode.com/problems/maximum-ice-cream-bars/","No"
"52","Check if the Sentence Is Pangram","1","Easy","https://leetcode.com/problems/check-if-the-sentence-is-pangram/","No"
"53","Closest Room","3","Hard","https://leetcode.com/problems/closest-room/","No"
"54","Maximum Element After Decreasing and Rearranging","2","Medium","https://leetcode.com/problems/maximum-element-after-decreasing-and-rearranging/","No"
"55","Seat Reservation Manager","2","Medium","https://leetcode.com/problems/seat-reservation-manager/","No"
"56","Replace All Digits with Characters","1","Easy","https://leetcode.com/problems/replace-all-digits-with-characters/","No"
"57","Finding MK Average","3","Hard","https://leetcode.com/problems/finding-mk-average/","No"
"58","Minimum Sideway Jumps","2","Medium","https://leetcode.com/problems/minimum-sideway-jumps/","No"
"59","Find the Winner of the Circular Game","2","Medium","https://leetcode.com/problems/find-the-winner-of-the-circular-game/","No"
"60","Sign of the Product of an Array","1","Easy","https://leetcode.com/problems/sign-of-the-product-of-an-array/","No"
"61","Number of Different Subsequences GCDs","3","Hard","https://leetcode.com/problems/number-of-different-subsequences-gcds/","No"
"62","Minimum Absolute Sum Difference","2","Medium","https://leetcode.com/problems/minimum-absolute-sum-difference/","No"
"63","Finding the Users Active Minutes","2","Medium","https://leetcode.com/problems/finding-the-users-active-minutes/","Yes"
"64","Truncate Sentence","1","Easy","https://leetcode.com/problems/truncate-sentence/","No"
"65","Minimum Number of Operations to Make String Sorted","3","Hard","https://leetcode.com/problems/minimum-number-of-operations-to-make-string-sorted/","No"
"66","Maximum XOR for Each Query","2","Medium","https://leetcode.com/problems/maximum-xor-for-each-query/","No"
"67","Queries on Number of Points Inside a Circle","2","Medium","https://leetcode.com/problems/queries-on-number-of-points-inside-a-circle/","No"
"68","Minimum Operations to Make the Array Increasing","1","Easy","https://leetcode.com/problems/minimum-operations-to-make-the-array-increasing/","No"
"69","Maximize Number of Nice Divisors","3","Hard","https://leetcode.com/problems/maximize-number-of-nice-divisors/","No"
